cost,datetime,category
0.42,4/3/2023,Cosmetic
30.03,7/17/2023,Travel
1.36,9/20/2023,Clothing
0.13,1/11/2023,Cosmetic
0.73,6/13/2023,Electronics
1.17,8/24/2023,Cosmetic
1.72,8/30/2023,Cosmetic
1.90,2/8/2023,Cosmetic
0.91,1/12/2023,Restaurant
1.68,6/7/2023,Clothing
10.93,2/11/2023,Travel
4.56,9/24/2023,Market
1.67,8/7/2023,Cosmetic
1.26,4/22/2023,Cosmetic
0.64,4/10/2023,Cosmetic
0.94,1/5/2023,Restaurant
5.19,2/28/2023,Market
5.60,4/22/2023,Market
1.25,5/20/2023,Cosmetic
17.27,5/14/2023,Travel
0.47,5/28/2023,Clothing
0.47,6/1/2023,Clothing
1.79,6/29/2023,Clothing
0.20,4/17/2023,Restaurant
1.27,6/14/2023,Cosmetic
4.31,2/1/2023,Market
10.87,3/18/2023,Electronics
9.20,3/30/2023,Travel
17.41,4/15/2023,Travel
1.11,9/13/2023,Cosmetic
0.69,9/21/2023,Cosmetic
1.74,6/6/2023,Cosmetic
1.85,7/20/2023,Clothing
24.37,9/20/2023,Travel
2.96,6/21/2023,Market
7.43,9/10/2023,Travel
20.53,3/5/2023,Travel
5.73,1/14/2023,Electronics
0.76,5/18/2023,Clothing
28.52,9/2/2023,Travel
1.16,9/17/2023,Cosmetic
0.99,5/17/2023,Restaurant
0.68,8/6/2023,Electronics
10.08,7/26/2023,Electronics
1.73,6/11/2023,Cosmetic
1.51,10/7/2023,Cosmetic
0.59,3/20/2023,Market
0.84,9/26/2023,Clothing
3.90,6/30/2023,Electronics
8.37,7/7/2023,Travel
16.17,3/19/2023,Travel
0.46,2/18/2023,Restaurant
0.20,5/1/2023,Cosmetic
1.33,5/25/2023,Cosmetic
2.19,5/7/2023,Cosmetic
0.68,3/31/2023,Restaurant
0.78,6/23/2023,Restaurant
23.94,9/14/2023,Travel
1.81,6/20/2023,Travel
1.54,2/12/2023,Cosmetic
2.12,8/21/2023,Market
30.74,7/3/2023,Travel
1.64,8/4/2023,Market
2.77,6/18/2023,Clothing
0.62,9/26/2023,Clothing
0.14,6/10/2023,Restaurant
1.74,3/15/2023,Cosmetic
32.60,7/28/2023,Travel
7.70,7/29/2023,Electronics
0.28,5/17/2023,Clothing
22.93,1/1/2023,Travel
0.56,4/17/2023,Restaurant
0.48,8/20/2023,Clothing
3.10,1/20/2023,Clothing
0.90,8/4/2023,Cosmetic
0.26,4/6/2023,Restaurant
1.82,10/8/2023,Market
0.48,9/14/2023,Restaurant
0.60,10/2/2023,Market
3.66,5/30/2023,Market
19.01,7/1/2023,Travel
9.87,3/23/2023,Electronics
3.38,8/18/2023,Market
2.90,8/2/2023,Market
1.98,1/26/2023,Cosmetic
1.13,3/21/2023,Cosmetic
4.05,7/20/2023,Electronics
2.73,2/21/2023,Market
2.49,3/27/2023,Market
2.75,5/24/2023,Clothing
0.12,9/28/2023,Market
3.58,4/16/2023,Electronics
3.28,7/23/2023,Market
1.88,5/18/2023,Clothing
0.26,8/29/2023,Restaurant
2.72,3/2/2023,Clothing
27.79,6/28/2023,Travel
4.65,3/20/2023,Market
11.28,4/28/2023,Electronics
1.12,8/27/2023,Restaurant
6.14,6/14/2023,Electronics
0.66,6/23/2023,Market
0.69,5/15/2023,Restaurant
3.69,1/31/2023,Market
0.26,8/27/2023,Restaurant
0.14,1/25/2023,Restaurant
2.38,6/12/2023,Market
2.90,5/22/2023,Travel
0.69,5/5/2023,Restaurant
25.04,5/28/2023,Travel
1.02,8/28/2023,Cosmetic
0.93,6/8/2023,Cosmetic
1.66,5/12/2023,Cosmetic
1.12,5/26/2023,Restaurant
0.14,4/18/2023,Restaurant
4.48,9/17/2023,Market
5.20,6/20/2023,Electronics
27.19,10/10/2023,Travel
3.17,8/9/2023,Clothing
21.82,4/3/2023,Travel
14.95,2/21/2023,Travel
1.23,6/15/2023,Clothing
11.72,6/24/2023,Electronics
